t,goodput,throttled,offered,type,name
115.248433, 118, 32, 118, client, client_1_150.00
115.248433, 48, 100, 51, client, client_2_150.00
115.248433, 10, 0, 10, client, client_3_10.00
116.250168, 190, 5, 195, server, server
116.250168, 18, 132, 19, client, client_0_150.00
116.250168, 115, 35, 115, client, client_1_150.00
116.250168, 48, 99, 51, client, client_2_150.00
116.250168, 9, 0, 10, client, client_3_10.00
117.254581, 208, 4, 212, server, server
117.254581, 17, 132, 18, client, client_0_150.00
117.254581, 124, 27, 124, client, client_1_150.00
117.254581, 58, 90, 60, client, client_2_150.00
117.254581, 9, 0, 10, client, client_3_10.00
118.255100, 200, 6, 206, server, server
118.255100, 19, 130, 20, client, client_0_150.00
118.255100, 122, 28, 122, client, client_1_150.00
118.255100, 49, 97, 54, client, client_2_150.00
118.255100, 10, 0, 10, client, client_3_10.00
119.256834, 205, 5, 210, server, server
119.256834, 11, 140, 11, client, client_0_150.00
119.256834, 124, 26, 124, client, client_1_150.00
119.256834, 61, 85, 65, client, client_2_150.00
119.256834, 9, 0, 10, client, client_3_10.00
120.261247, 202, 35, 237, server, server
120.261247, 25, 108, 42, client, client_0_150.00
120.261247, 121, 29, 122, client, client_1_150.00
120.261247, 47, 87, 63, client, client_2_150.00
120.261247, 9, 0, 10, client, client_3_10.00
121.261766, 195, 7, 202, server, server
121.261766, 13, 135, 15, client, client_0_150.00
121.261766, 144, 6, 144, client, client_1_150.00
121.261766, 29, 118, 33, client, client_2_150.00
121.261766, 9, 0, 10, client, client_3_10.00
122.263500, 206, 4, 210, server, server
122.263500, 30, 121, 30, client, client_0_150.00
122.263500, 121, 29, 121, client, client_1_150.00
